accession	strain
KX255371	EV-D68/Homosapiens/USA/U2221/2008
KX255374	EV-D68/Homosapiens/USA/U2704/2009
KX255360	EV-D68/Homosapiens/USA/U2705/2009
KX255355	EV-D68/Homosapiens/USA/U2737/2009
KX255409	EV-D68/Homosapiens/USA/U2752/2009
KX255370	EV-D68/Homosapiens/USA/U4470/2012
KX255399	EV-D68/Homosapiens/USA/U4486/2012
KX255356	EV-D68/Homosapiens/USA/U4489/2012
KX255375	EV-D68/Homosapiens/USA/U5282/2014
KX255397	EV-D68/Homosapiens/USA/U807/2007
KY292525	EV-D68_STL_2016_19
KY292526	EV-D68_STL_2016_20
MF045413	EVD68/Homosapiens/VNM/VN1/2014
MF045422	EVD68/Homosapiens/VNM/VN10/2013
MF045414	EVD68/Homosapiens/VNM/VN2/2014
MF045415	EVD68/Homosapiens/VNM/VN3/2014
MF045416	EVD68/Homosapiens/VNM/VN4/2014
MF045417	EVD68/Homosapiens/VNM/VN5/2014
MF045418	EVD68/Homosapiens/VNM/VN6/2014
MF045419	EVD68/Homosapiens/VNM/VN7/2009
MF045420	EVD68/Homosapiens/VNM/VN8/2009
MF045421	EVD68/Homosapiens/VNM/VN9/2010
KU982558	EVD68/SZ01/CHN/2015
KU982559	EVD68/SZ02/CHN/2015
KU982560	EVD68/SZ03/CHN/2015
KU982561	EVD68/SZ04/CHN/2015
MG739632	HongKong/CUHK09970
MG739633	HongKong/CUHK12619
MG739634	HongKong/CUHK15980
MG739635	HongKong/CUHK16709
MG739636	HongKong/CUHK47134
MG739637	HongKong/CUHK61194
MG739638	HongKong/CUHK63749
MG739639	HongKong/CUHK66649
AB601882	JPOC10-290
AB601883	JPOC10-378
AB601884	JPOC10-396
AB601885	JPOC10-404
MH330334	NIV1733258
KX957754	NY10_16
KY385880	NY126_16
KY385881	NY135_16
KY385882	NY141_16
KY385883	NY149_16
KY385884	NY151_16
KY385885	NY166_16
KY385886	NY172_16
KY385887	NY185_16
KY385888	NY188_16
KY385889	NY212_16
KX957755	NY22_16
KY385890	NY230_16
KY385891	NY234_16
KY385892	NY241_16
KX957756	NY29_16
KX957757	NY30_16
KX957758	NY39_16
KX957759	NY43_16
KX957760	NY44_16
MG757146	NY586_17
KX957761	Ny59_16
KX957762	NY75_16
KT455421	NYS14-27898
KT455422	NYS14_28173
KT455423	NYS14_30603
KT455424	NYS14_30609
KT455425	NYS14_30905
KT455426	NYS14_30917
KT455427	NYS14_31249
KT455428	NYS14_31590
KT455429	NYS14_32132
KT455430	NYS14_32368
KX789264	SMC-15-Sendai823
KX789265	SMC-15-Sendai830
KX789266	SMC-15-Sendai876
KX789267	SMC-15-Sendai881
KX384960	T106/FtJacksonSouthCarolinaUSA/2002
KY348862	T202
KX789261	TBp-13-Ph440
KX789259	TTa-11-Ph224
KX789260	TTa-11-Ph344
KX789224	TU-15-Sendai727
KX789223	TU-15-Sendai728
KX789222	TU-15-Sendai729
KT711083	TW-00785-2014
KT711084	TW-00821-2014
KT711078	TW-00880-2014
KT711079	TW-00893-2014
KT711082	TW-00898-2014
KT711080	TW-00909-2014
KT711085	TW-00928-2014
KT711081	TW-00932-2014
KT711086	TW-02512-2014
KT711088	TW-02795-2014
KT711087	TW-02809-2014
KU844181	US/CA/14-4231
KU844180	US/CA/14-4232
KU844179	US/CA/Fermon
KU844178	US/CA/Rhyne
MK491180	USA/2018-23087
MK491181	USA/2018-23088
MK491182	USA/2018-23089
KU669047	USA/AL/2014-19061
KT995535	USA/AL/2014-19169
KT995605	USA/AL/2014-19241
KT995591	USA/AR/2014-19227
MK681489	USA/CA/2014-RGDS-1024
MK681490	USA/CA/2014-RGDS-1025
MK681491	USA/CA/2014-RGDS-1026
MK681492	USA/CA/2014-RGDS-1027
MK681493	USA/CA/2014-RGDS-1028
MK681494	USA/CA/2014-RGDS-1029
MK681495	USA/CA/2014-RGDS-1030
MK681496	USA/CA/2014-RGDS-1031
MK681497	USA/CA/2014-RGDS-1032
MK681498	USA/CA/2014-RGDS-1033
MK681499	USA/CA/2014-RGDS-1034
MK681500	USA/CA/2014-RGDS-1035
MK681501	USA/CA/2014-RGDS-1036
MK681502	USA/CA/2014-RGDS-1037
MK681503	USA/CA/2014-RGDS-1038
MK681504	USA/CA/2014-RGDS-1039
MK681505	USA/CA/2014-RGDS-1040
MK689392	USA/CA/2018-RGDS-1041
KU669048	USA/CO/2014-19030
KU669046	USA/CO/2014-19081
KT995533	USA/CO/2014-19175
KT995540	USA/CO/2014-19189
KT995541	USA/CO/2014-19190
KT995608	USA/CO/2014-19244
KT995623	USA/CO/2014-19258
KT995543	USA/CT/2014-19180
KT995567	USA/CT/2014-19201
KT995568	USA/CT/2014-19202
KT995575	USA/CT/2014-19208
KT995594	USA/CT/2014-19230
KT995597	USA/CT/2014-19233
KT995629	USA/DC/2014-19264
KT995563	USA/DE/2014-19197
KT995611	USA/FL/2014-19070
KX675261	USA/FL/2016-19504
